grid_id,year,month,latitude,longitude,blue,green,red,nir,swir1,swir2,ndvi,ndmi,nbr,treecover2000,lossyear,forest_loss_next_year,forested_2000,elevation,slope,aspect,soil_moisture,precipitation,temperature_c,burned_this_month,night_lights,landsat_image_count
-8359722,2026,5.0,36.75007827332963,-120.3472986134923,0.0382325,0.05674,0.0449562499999999,0.04008875,0.0298174999999999,0.0233825,-0.15193279,0.10361138,0.18249324,70,10,0,1,46,0.0,-0.0,0.13438663,-9999.0,22.934969182168288,0,1.898203311143098,52
-8350739,2026,5.0,37.3609326665309,-120.86832147828164,0.0691699999999999,0.10251375,0.131705,0.23643875,0.24341,0.20682125,0.29970816,-0.02519866,0.07611611,63,12,0,1,29,4.6273675,-0.0,0.16252026,-9999.0,21.8748055816979,0,2.765877341994873,52
-8345349,2026,5.0,36.83990980174158,-120.29339969644514,0.038425,0.06312,0.0535225,0.32193625,0.18163125,0.09843,0.7068872,0.2601009,0.5079201,42,13,0,1,55,1.4840239,231.32925,0.13679947,-9999.0,22.934969182168288,0,1.2923467230796817,52
-8343552,2026,5.0,36.57041521650572,-120.00593880552688,0.09876,0.1383599999999999,0.1797475,0.2935975,0.4171275,0.3461774999999999,0.24290514,-0.1734752,-0.08176354,67,2,0,1,66,2.4874105,248.12149,0.12247991,-9999.0,23.425017170239528,0,6.96056139987448,52
-8341756,2026,5.0,36.55244891082333,-119.9700061941621,0.0229149999999999,0.0523675,0.0347949999999999,0.36507,0.1447125,0.0642749999999999,0.82615757,0.43274748,0.6989708,53,17,0,1,65,0.92740995,180.0,0.12026058,-9999.0,23.425017170239528,0,0.594058361147409,52
-8341755,2026,5.0,36.534482605140944,-119.95203988847972,0.0458224999999999,0.0722499999999999,0.06785,0.3033875,0.2095575,0.1345374999999999,0.6341638,0.19047573,0.3904819,69,17,0,1,62,0.0,-0.0,0.12026058,-9999.0,23.77528021207422,0,0.6131411578336899,52
-8339959,2026,5.0,36.4266847710466,-119.82627574870298,0.1065424999999999,0.149085,0.1891525,0.28697,0.4810925,0.4545275,0.20290503,-0.2539905,-0.22501768,88,3,0,1,69,1.4791917,51.179234,0.12683581,-9999.0,23.53157273979599,0,1.7706954926252363,52
-8338163,2026,5.0,36.229055408540304,-119.6106800805143,0.119715,0.1512299999999999,0.19105,0.3049274999999999,0.459175,0.3680675,0.23267424,-0.20186755,-0.09381942,95,5,0,1,73,0.92740995,-0.0,0.13736084,-9999.0,23.99054661412396,0,8.934520959854126,52
-8336366,2026,5.0,37.37889897221329,-120.7425573385049,0.10382,0.15365,0.2012662499999999,0.29215375,0.39214375,0.37396625,0.18892947,-0.15894665,-0.14280884,62,4,0,1,45,2.1905732,147.8211,0.15247345,-9999.0,21.752874403102453,0,8.936828591606833,52
-8334569,2026,5.0,37.450764194942856,-120.79645625555206,0.04564375,0.0720987499999999,0.07190625,0.30010125,0.22119,0.141165,0.61088395,0.15111957,0.36119175,42,1,0,1,48,7.0353675,262.46283,0.1563403,-9999.0,21.30006967359975,0,5.270642687877019,52
-8332773,2021,11.0,36.49854999377616,-119.82627574870298,0.0258849999999999,0.0467025,0.0415599999999999,0.1959175,0.1384425,0.076595,0.63231814,0.18417612,0.41328993,80,5,0,1,75,0.92740995,-0.0,0.1756728,0.025,14.65187377929692,1,1.7063399136066435,42
