grid_id,year,month,latitude,longitude,blue,green,red,nir,swir1,swir2,ndvi,ndmi,nbr,treecover2000,lossyear,forest_loss_next_year,forested_2000,elevation,slope,aspect,soil_moisture,precipitation,temperature_c,burned_this_month,night_lights,landsat_image_count
-8196229,2025,4.0,37.25313483243656,-119.2154213555017,0.073405,0.09163749999999998,0.10128999999999999,0.1918475,0.24602249999999998,0.22539750000000003,0.308925,-0.13082598,-0.08757645,89,20,0,1,2365,19.631886,176.73163,0.24127425,0.07700001,4.097212664286303,1,0.31484135413881054,51
-8198025,2025,4.0,37.25313483243656,-119.2333876611841,0.1886025,0.17465999999999998,0.20155499999999998,0.30346999999999996,0.21343499999999999,0.1936075,0.2018019,0.17418094,0.22101684,71,20,0,1,2491,12.148744,121.76113,0.24127425,0.07700001,4.097212664286303,1,0.2672316794368354,51
-8205211,2025,8.0,36.92974133015353,-118.98185938163063,0.0533575,0.07125999999999999,0.0837175,0.20656000000000002,0.2132425,0.15040499999999998,0.4232098,-0.021982288,0.16249248,85,16,0,1,2115,18.863827,216.34827,0.15125887,0.012,21.605579220351387,1,1.3987364773811013,52
-8212399,2025,8.0,36.89380871878875,-119.01779199299541,0.04375999999999999,0.0800325,0.08401999999999998,0.3123525,0.2336475,0.13528,0.57605535,0.14414835,0.4082937,84,15,0,1,1755,20.155794,138.5674,0.15125887,0.008,21.605579220351387,1,5.525123358797282,52
-8210602,2025,8.0,36.91177502447114,-119.01779199299541,0.03483625,0.05745499999999998,0.05731749999999999,0.19100875,0.15937,0.103765,0.51035196,0.094874285,0.29765278,96,16,0,1,1452,26.384695,348.22546,0.15125887,0.009000001,21.605579220351387,1,1.0889747759792954,52
-8214195,2025,8.0,36.89380871878875,-119.0357582986778,0.05012625000000001,0.08056875,0.09165124999999999,0.27796375,0.23099375,0.15113374999999998,0.52498114,0.118127406,0.31626037,49,16,0,1,1646,22.132263,185.71237,0.15125887,0.008,21.605579220351387,1,1.2906937016546727,52
-8215992,2025,8.0,36.89380871878875,-119.05372460436018,0.025720000000000007,0.048861249999999995,0.05596999999999999,0.23594375,0.1534025,0.08066500000000001,0.62333083,0.20767619,0.49045298,85,15,0,1,1228,31.491745,262.4077,0.12247206,0.008,23.643352762858115,1,0.4829050492802101,52
-8219585,2025,8.0,36.89380871878875,-119.08965721572497,0.035413749999999994,0.056946250000000004,0.07185124999999998,0.23443125,0.1681975,0.09237999999999999,0.51639634,0.16887832,0.4425181,59,16,0,1,1252,19.074583,339.43805,0.12247206,0.008,23.643352762858115,1,2.3940529568741717,52
-8207008,2025,9.0,36.92974133015353,-118.99982568731302,0.03735250000000001,0.03842499999999999,0.044007500000000005,0.07741999999999999,0.1351425,0.12268499999999999,0.23535898,-0.27155542,-0.22620624,86,16,0,1,1420,19.074306,264.62747,0.19913723,0.032,17.539631695217565,1,1.5050532234211762,51
-8214195,2025,9.0,36.96567394151831,-119.10762352140736,0.028002499999999986,0.05841750000000001,0.0418075,0.10898999999999998,0.1396525,0.07395499999999999,0.52469075,-0.086573094,0.020398702,98,15,0,1,1456,24.197178,244.38702,0.19782613,0.029000001,16.426361295912045,1,3.1815142141316426,51
-8210601,2025,9.0,37.01957285856548,-119.12558982708975,0.05129499999999998,0.09589999999999999,0.06430249999999998,0.23169499999999998,0.14738,0.08660499999999999,0.56552,0.222423,0.45582783,98,16,0,1,1769,18.056131,95.69947,0.17292279,0.028,16.426361295912045,1,1.6128195186978893,51
-8214195,2025,9.0,37.00160655288309,-119.14355613277215,0.02437249999999999,0.0476375,0.043292499999999984,0.2184125,0.13734249999999998,0.07290999999999997,0.66915035,0.22788155,0.49945506,99,16,0,1,1839,26.103697,235.83035,0.17292279,0.028,16.426361295912045,1,1.5711650554414676,51
-8217788,2025,9.0,37.00160655288309,-119.17948874413692,0.05683624999999999,0.09141749999999998,0.09404374999999998,0.20613375,0.208595,0.17415124999999998,0.36790717,-0.0128724845,0.095611125,85,16,0,1,1572,10.063739,34.824257,0.17292279,0.028,18.78905932108563,1,1.2390162980272657,51
