grid_id,year,month,latitude,longitude,blue,green,red,nir,swir1,swir2,ndvi,ndmi,nbr,treecover2000,lossyear,forest_loss_next_year,forested_2000,elevation,slope,aspect,soil_moisture,precipitation,temperature_c,burned_this_month,night_lights,landsat_image_count
-8244738,2026,3.0,36.175156491493134,-118.62253326798282,0.047665,0.07229125,0.09292999999999998,0.15585,0.2202,0.1855775,0.25229365,-0.17688528,-0.09310643,98,20,0,1,2126,11.649816,308.91098,0.18714154,-9999,10.303628273420486,1,0.39653966447804123,56
-8208806,2026,3.0,37.181269609706995,-119.26932027254887,0.02442749999999999,0.033805,0.028085,0.15246749999999998,0.10552499999999998,0.058252499999999985,0.6289472,0.24198024,0.44405997,100,21,0,1,1774,28.781755,335.9933,0.26774788,-9999,9.369257473689288,1,0.24380767561103167,56
-8212399,2026,3.0,37.181269609706995,-119.30525288391365,0.0262975,0.039360000000000006,0.0355375,0.14809499999999998,0.10849500000000001,0.06498999999999999,0.6118625,0.20479141,0.39042187,99,21,0,1,1638,26.032503,311.517,0.20232518,-9999,9.369257473689288,1,0.19483821942574447,56
-8207008,2026,5.0,36.15719018581074,-118.22727454297024,0.027755000000000002,0.051515000000000005,0.05634125000000001,0.2099425,0.16722125000000002,0.11286749999999998,0.57680726,0.11320698,0.300688,87,9,0,1,2644,13.925591,297.19412,0.12647131,-9999,8.697373101019139,0,0.28693123027682305,52
-8224975,2026,5.0,36.01345974035162,-118.263207154335,0.047967499999999996,0.07752999999999999,0.09295750000000003,0.27465,0.21365499999999998,0.14606000000000002,0.49440807,0.12510876,0.30284777,71,2,0,1,2410,13.466315,221.95915,0.11563582,-9999,10.074712125716701,0,0.3862504832860496,52
-8201618,2026,5.0,36.2470217142227,-118.263207154335,0.04475,0.06841375000000002,0.08296125000000001,0.20187125,0.24972125,0.18982625,0.41715318,-0.10623525,0.030599456,85,2,0,1,2702,10.817853,227.33374,0.13607162,-9999,9.863800877396784,0,0.2556364672631025,52
-8224975,2026,5.0,36.03142604603401,-118.2811734600174,0.0327875,0.05998500000000001,0.06575999999999999,0.24891000000000002,0.1815075,0.11578250000000001,0.58203834,0.17012975,0.37041396,85,2,0,1,2644,14.525908,247.98425,0.11563582,-9999,10.074712125716701,0,0.37057313571373623,52
-8221382,2026,5.0,36.06735865739879,-118.2811734600174,0.036500000000000005,0.06361499999999998,0.07079249999999998,0.25353,0.19852999999999998,0.12496750000000001,0.5634438,0.15648966,0.3602216,85,2,0,1,2424,4.5799193,270.0,0.11563582,-9999,10.454715695945197,0,0.40393935694980126,52
-8226771,2026,5.0,36.03142604603401,-118.29913976569979,0.03438250000000001,0.06166250000000001,0.062377499999999975,0.269315,0.18159000000000003,0.10920999999999997,0.6272564,0.1992341,0.42297074,72,2,0,1,2384,18.280695,75.817375,0.11563582,-9999,10.074712125716701,0,0.2752069110194078,52
-8224974,2026,5.0,36.0493923517164,-118.29913976569979,0.02844250000000001,0.053027500000000005,0.056410000000000016,0.24544500000000002,0.15370499999999998,0.0932325,0.6281727,0.2298384,0.449432,85,2,0,1,2447,15.730987,347.68735,0.11563582,-9999,10.074712125716701,0,0.31138922384178097,52
-8210601,2026,5.0,36.193122797175526,-118.29913976569979,0.05469125,0.08212249999999999,0.10201874999999999,0.23140625,0.32357250000000004,0.25909875000000004,0.39790168,-0.16986658,-0.05822972,78,10,0,1,2617,12.205009,68.02521,0.13607162,-9999,9.863800877396784,0,0.36352989392784923,52
-8207008,2026,5.0,36.229055408540304,-118.29913976569979,0.040295,0.06548499999999999,0.07594875000000001,0.23379875,0.21611625,0.15893000000000002,0.50969565,0.039233953,0.19056003,78,2,0,1,2029,14.648325,266.4493,0.13607162,-9999,9.863800877396784,0,0.1742506717145443,52
-8205211,2026,5.0,36.2470217142227,-118.29913976569979,0.05110249999999998,0.08278250000000001,0.08975375000000002,0.28860625,0.24633875000000002,0.1857975,0.51685214,0.054987907,0.19323656,45,2,0,1,2347,32.312317,79.679146,0.13607162,-9999,9.863800877396784,0,0.282956466350394,52
-8230365,2026,5.0,36.01345974035162,-118.31710607138218,0.0233275,0.04593249999999999,0.04986499999999999,0.1944325,0.151615,0.10764249999999997,0.5961807,0.123733014,0.28731275,89,24,0,1,2650,13.621579,262.32208,0.11563582,-9999,10.074712125716701,0,0.2800370351566623,52
-8226771,2026,5.0,36.0493923517164,-118.31710607138218,0.03740750000000001,0.06721749999999999,0.07522000000000001,0.2721475,0.2068625,0.1364625,0.566914,0.1545188,0.34036398,72,2,0,1,2606,23.179459,79.10372,0.11563582,-9999,10.074712125716701,0,0.31860802628099916,52
-8224975,2026,5.0,36.06735865739879,-118.31710607138218,0.03479499999999999,0.0630925,0.06402750000000001,0.279655,0.18527500000000002,0.121805,0.6274032,0.2029983,0.39318985,99,2,0,1,2129,11.866466,22.410072,0.11563582,-9999,10.454715695945197,0,0.26479501847643405,52
-8210602,2026,5.0,36.21108910285791,-118.31710607138218,0.05102000000000001,0.08520249999999999,0.09775625000000002,0.25805374999999997,0.21938875,0.17343625000000001,0.4487422,0.08324006,0.19816263,47,2,0,1,2453,28.213852,228.40997,0.13607162,-9999,9.863800877396784,0,0.24834450975888306,52
-8208805,2026,5.0,36.229055408540304,-118.31710607138218,0.049095,0.07651250000000001,0.0929575,0.23960125000000002,0.21537375,0.17401375,0.43340304,0.0438011,0.15306142,85,2,0,1,1994,26.76493,323.35782,0.13607162,-9999,9.863800877396784,0,0.20165516311923662,52
-8207008,2026,5.0,36.2470217142227,-118.31710607138218,0.05264249999999998,0.07673249999999998,0.09130749999999999,0.1971,0.2211075,0.18112250000000002,0.3644765,-0.05398433,0.05041569,88,20,0,1,2532,34.34189,267.28394,0.13607162,-9999,9.863800877396784,0,0.2679408256274958,52
-8232162,2026,5.0,36.01345974035162,-118.33507237706458,0.05148749999999999,0.07813499999999998,0.1014825,0.184945,0.2598275,0.2189075,0.29136488,-0.16157351,-0.07828567,89,24,0,1,2557,4.9352307,292.02032,0.11480348,-9999,10.074712125716701,0,0.2702842877747921,52
-8230365,2026,5.0,36.03142604603401,-118.33507237706458,0.0414225,0.07134249999999998,0.07783249999999997,0.28125,0.20994249999999998,0.1347025,0.5664924,0.15598027,0.37117365,83,2,0,1,2676,16.804253,83.845825,0.11480348,-9999,10.074712125716701,0,0.22466828287751586,52
-8219585,2026,5.0,36.13922388012835,-118.33507237706458,0.0475275,0.07182375000000002,0.08597250000000001,0.19996,0.20986,0.15352625,0.3979627,-0.028877312,0.1266419,85,2,0,1,2294,35.876,273.85013,0.124546096,-9999,10.454715695945197,0,0.35763540450969467,52
-8214195,2026,5.0,36.193122797175526,-118.33507237706458,0.06364249999999999,0.09079874999999998,0.10648749999999998,0.21387499999999998,0.2464075,0.22102500000000003,0.33420357,-0.069762945,-0.013233871,89,20,0,1,2475,32.421875,258.23544,0.13034411,-9999,9.863800877396784,0,0.35575635408839357,52
-8233958,2026,5.0,36.01345974035162,-118.35303868274696,0.031549999999999995,0.057042499999999996,0.07186500000000001,0.19798,0.198365,0.1411925,0.47882032,0.010928565,0.16943476,99,3,0,1,2583,13.466315,221.95915,0.11480348,-9999,11.565006879580949,0,0.2059417386353016,52
-8228568,2026,5.0,36.06735865739879,-118.35303868274696,0.025857500000000005,0.05261500000000002,0.057730000000000004,0.17999500000000002,0.18931750000000003,0.1283225,0.5451958,0.010484152,0.20900881,92,17,0,1,2486,21.447775,314.46613,0.11480348,-9999,11.869166720810767,0,0.32326396472752095,52
-8226771,2026,5.0,36.08532496308118,-118.35303868274696,0.05498,0.08747125,0.10371,0.2596625,0.2907375,0.22563125,0.42723784,-0.057602976,0.069142796,76,2,0,1,1982,13.050048,51.05699,0.124546096,-9999,11.869166720810767,0,0.381986396468204,52
