grid_id,year,month,latitude,longitude,blue,green,red,nir,swir1,swir2,ndvi,ndmi,nbr,treecover2000,lossyear,forest_loss_next_year,forested_2000,elevation,slope,aspect,soil_moisture,precipitation,temperature_c,burned_this_month,night_lights,landsat_image_count,ndvi_delta_1m,ndmi_delta_1m,nbr_delta_1m,soil_moisture_delta_1m
-8248331,2021,9.0,36.0493923517164,-118.53270173957088,0.022035,0.04552,0.04024,0.1947625,0.1032699999999999,0.053275,0.65653074,0.36494175,0.6128763,94,22,1.0,1,1728,15.15806,26.323332,0.09758113,0.011000001,19.197681956821043,1,1.909816122613848,24,,,,
-8246535,2020,9.0,36.12125757444596,-118.58660065661805,0.00915125,0.023575,0.0183637499999999,0.12019625,0.0362249999999999,0.0175937499999999,0.7256605,0.57793146,0.761713,100,24,0.0,1,2211,22.919899,331.70862,0.08823072,0.008,20.29738445281987,1,5.681713567473567,28,,,,
-8246535,2021,9.0,36.06735865739879,-118.53270173957088,0.0259262499999999,0.04728,0.05542,0.1958075,0.15182125,0.09238,0.55906636,0.12828755,0.3602413,76,22,1.0,1,2184,12.689747,200.83957,0.09758113,0.011000001,19.605168935987702,1,1.297176704974845,24,,,,
-8246534,2020,9.0,36.10329126876357,-118.56863435093564,0.0249362499999999,0.0443924999999999,0.0444474999999999,0.16795,0.1140225,0.0811049999999999,0.5412752,0.18367104,0.31859064,96,20,0.0,1,2282,19.420898,38.68982,0.08823072,0.008,20.29738445281987,1,2.0459371124549457,28,,,,
-8246534,2021,9.0,36.0493923517164,-118.51473543388848,0.027315,0.0504974999999999,0.0544299999999999,0.1763374999999999,0.1592325,0.0924625,0.53983015,0.09833733,0.35437414,78,21,0.0,1,1728,25.09385,238.76813,0.09758113,0.011000001,19.197681956821043,1,1.1221847620606422,24,,,,
-8244738,2020,9.0,36.12125757444596,-118.56863435093564,0.0360324999999999,0.0483799999999999,0.0499474999999999,0.15000625,0.1155625,0.0976462499999999,0.43230632,0.11950862,0.21992797,100,20,0.0,1,1929,17.171516,114.77724,0.08823072,0.008,20.29738445281987,1,5.51070547118783,28,,,,
-8244738,2021,9.0,36.06735865739879,-118.51473543388848,0.0238774999999999,0.045685,0.045355,0.1905825,0.1345925,0.0709299999999999,0.64291716,0.24560672,0.50763875,52,21,0.0,1,1791,8.598935,138.53416,0.09758113,0.011000001,19.605168935987702,1,0.920120598077774,24,,,,
-8244737,2020,9.0,36.193122797175526,-118.6404995736652,0.03639,0.0624325,0.0626525,0.0913074999999999,0.1057724999999999,0.110035,0.17372239,-0.08612723,-0.10569882,100,21,1.0,1,1728,17.187273,308.90454,0.09571693,0.007,18.99103137122262,1,0.5041731793595396,28,,,,
-8242941,2020,9.0,36.12125757444596,-118.55066804525326,0.00955,0.0260362499999999,0.02044,0.10525,0.0515424999999999,0.0394974999999999,0.771192,0.27444217,0.36157,100,21,1.0,1,2149,18.226206,349.4802,0.08792739,0.008,20.29738445281987,1,4.361544174038702,28,,,,
-8242941,2021,9.0,36.08532496308118,-118.51473543388848,0.0258025,0.0420824999999999,0.0477749999999999,0.1724325,0.1271125,0.078025,0.57036877,0.13115467,0.3762965,36,21,0.0,1,2118,8.658745,148.25467,0.106388375,0.011000001,19.605168935987702,1,0.8349705170094966,24,,,,
